title,author,pubdate,play_volume,barrage,classification,likes,coins,collect,share,url
想不到吧，阅兵“检阅车”红旗L5能飙这么快,小央视频,2021-05-19 22:10:06,41.9,579弹幕,汽车&汽车生活&红旗,1.9万,275,1590,681,https://b23.tv/BV1eN411Z7YF
这就是五菱神车，五菱宏光mini ev：别人在泡澡的时候我在励志前行,哈哈哈哈哈omg,2021-05-19 01:51:00,49.1,376弹幕,汽车&必剪创作&汽车生活&miniev&五菱&神车&五菱宏光,1.6万,568,1841,9125,https://b23.tv/BV17o4y117gz
00后小伙租迈凯伦跑山撞墙,路上那些事儿,2021-05-20 16:48:21,53.6,1574弹幕,特斯拉&汽车&汽车生活&全能沙雕&沙雕之主&行车记录仪&碰瓷&超跑&交通事故&路怒症&车祸集锦&打卡挑战,4929,203,937,693,https://b23.tv/BV1LK4y1G7vS
陪老板娘亡命天涯1200公里！弄得头破血流？,极速拍档,2021-05-21 21:00:12,21.3,3725弹幕,摩托车&汽车&汽车生活&摩旅&杜卡迪&旅行车&自驾&Valli&新宝骏&BAOJUN,2.0万,1.1万,2884,1635,https://b23.tv/BV1BB4y1F7rQ
这，才是国货之光！！！,快男HappyBoy,2021-05-21 08:41:45,21.1,1775弹幕,汽车&汽车生活&赢全球热评 拍汽车视频&生活&国货&MINIEV&红旗&性价比&国产车&五菱&H9,1.1万,9000,2120,434,https://b23.tv/BV1UQ4y1o76F
这事故你觉得司机冤吗？,交通安全蜀黍,2021-05-18 20:34:16,49.0,871弹幕,汽车&汽车生活&交通事故&开车&车祸&事故,5735,114,749,1621,https://b23.tv/BV1f64y1C7nf
自费购买八十条轮胎 测测性能,此地无垠王垠,2021-05-21 14:30:19,13.2,561弹幕,汽车&汽车极客&赢全球热评 拍汽车视频&测评&轮胎&汽车知识,1.4万,1.4万,2584,467,https://b23.tv/BV1wN411Z7tk
721期：笑死了！小伙被撞后愤怒踹车，结果踹错了车！,小明不背锅,2021-05-20 11:30:19,21.2,5782弹幕,机械&汽车&汽车生活&原创&车祸集锦&碰瓷&路怒&监控实拍&车祸瞬间&追尾&交通事故&车祸,1.1万,887,635,451,https://b23.tv/BV1co4y117Yv
签收最快快递！F1赛车出现在路上是什么样的？,终极小腾,2021-05-17 20:37:09,101.0,2850弹幕,赛车&机械&汽车&汽车生活&聚会&生活&科技&运动&终极小腾&新车&快递&阿斯顿马丁&提车,5.5万,6821,2515,1499,https://b23.tv/BV1864y1d7p4
特斯拉减配等于升级？,一鹿有车,2021-05-18 18:30:01,61.1,772弹幕,特斯拉&汽车&汽车生活&原创&日常&新能源汽车&打卡挑战&电动汽车&MODEL3,4.1万,2658,1028,1941,https://b23.tv/BV1rf4y1Y7bv
偶遇16万粉丝大主播假徒步，夫妻纯直播不发视频，一天挣一两千！,大勃去旅行,2021-05-12 02:04:08,110.6,412弹幕,自驾游&汽车&旅游&汽车生活&全能沙雕&沙雕之主&户外直播&假徒步&网红&床车,2.4万,248,786,392,https://b23.tv/BV1gh411v7pm
拆解领克01，外表沃尔沃内里竟然是这样的……,原来真是翔翔啊,2021-05-21 12:10:01,15.9,1903弹幕,机械&汽车&汽车极客&记录你的职业Vlog&原创&科技&测评&吉利&沃尔沃&汽车知识&领克01,9625,4745,1549,1826,https://b23.tv/BV1gN411Z77h
往里走！有大座！！6座SUV领裕！,几分钟义务教室&请叫我高晨&我家三头猪&隔壁陈广域,2021-05-20 12:05:16,14.4,864弹幕,SUV&汽车&汽车生活&选车&福特&几分钟义务教育&大空间&家用车&几分钟义务教室&6座&几分钟义务试驾&领裕,1.1万,2904,864,545,https://b23.tv/BV1Xv41157Dy
买了特斯拉，还要被教育？>_<,无处安放的小A,2021-05-16 14:42:54,68.8,707弹幕,特斯拉&财经&汽车&汽车生活&全民娱乐家·娱乐小能手&生活&瑞思拜&自动驾驶,2.8万,1162,1578,416,https://b23.tv/BV1B541137s9
房车自驾西海固，十年前月收入不足600元，如今怎么样？,杨旭游记,2021-05-20 19:00:11,10.1,1129弹幕,房车&汽车&旅游&汽车生活&出去浪vlog&旅行&宁夏&自驾&旅行车&房车旅行&房车生活&同心县,8100,2304,350,89,https://b23.tv/BV1TN411Z7CA
测评大众ID.4,38号车评中心官方账号,2021-05-21 12:00:19,11.1,3403弹幕,机械&汽车&智能出行&行业巨头&原创&测评&38号车评中心&新车&大众,7466,4572,939,450,https://b23.tv/BV1fb4y1f7Yu
开车突然生了气，中小学校快传递！,开车大神,2021-05-20 20:31:57,12.1,452弹幕,汽车&汽车生活&最强配音王-配音挑战&童年回忆杀&儿童&六一&行车安全&配音解说&孩子&儿童节&开车大神,6732,735,301,156,https://b23.tv/BV13v411L79s
天呐！漏油了？两万块刚买的工作车,沙奔的汽车笔录,2021-05-20 18:00:06,7.0,906弹幕,汽车&汽车生活&原创&日常&天语&铃木&二手车&汽车知识&UP主百万补贴,7109,6014,1142,132,https://b23.tv/BV1AU4y1b7cX
油耗超低，刹车垫底，全面评测比亚迪秦PLUS DM-i,懂车帝原创,2021-05-19 16:00:00,11.6,704弹幕,汽车&购车攻略&宋&比亚迪&懂车帝评测&秦PLUS DM-i&评车&车评&汉&元&懂车帝,3019,424,365,654,https://b23.tv/BV1y64y1d7S3
中国制造崛起！全球首探极氪001的百亿工厂！合法开到200公里是什么感受？,谢宗桓-老谢来了,2021-05-18 11:45:12,35.1,7405弹幕,汽车&汽车生活&原创&日常&美女&极氪001&百亿工厂&极氪工厂&汽车知识&极氪&开局即高能,2.0万,1.2万,3510,3109,https://b23.tv/BV1b54y1L7Py
【村长】十分钟带你入坑FormulaE电动方程式,村长托马斯,2021-05-21 18:12:09,6.5,1119弹幕,赛车&汽车&体育&汽车文化&奔驰&运动&电动方程式&FE,5823,2936,1062,315,https://b23.tv/BV1cB4y1c7c3
深圳僵尸车居然是半个世纪前的老野马，到底要不要拯救她？,AMCC肌肉车俱乐部,2021-05-13 18:43:51,91.7,671弹幕,汽车&汽车生活&速度与激情&amcc会长&福特野马&野马&改装车&肌肉车&MUSTANG&老车&僵尸车&amcc,5.5万,1480,2356,216,https://b23.tv/BV1M54y1L7CF
为啥有的人非手动挡不买，买到手却后悔了？,备胎说车,2021-05-21 18:24:15,8.5,591弹幕,汽车&汽车生活&赢全球热评 拍汽车视频&趣闻&原创&涨知识&自动挡&手动挡&用车&买车&备胎说车&汽车知识,5875,1052,375,70,https://b23.tv/BV1yh411v7NU
开宝马挺豪横，不是每个人都惯着你,开车记录姨,2021-05-18 09:50:15,17.2,105弹幕,汽车&汽车生活&行车记录仪&宝马&加塞&斗气车&路怒症&交通安全&插队&行车安全&打卡挑战,1567,16,66,46,https://b23.tv/BV1jQ4y1R7Zf
看不起开领克车的？车主豪横把店弄关了！,牛哥说车,2021-05-20 17:33:37,8.7,162弹幕,汽车&汽车生活&国产车&领克&打卡挑战,6371,877,226,72,https://b23.tv/BV14o4y117DV
令人窒息的停车场：难度五颗星,尼古拉斯大黄蜂,2021-05-18 20:30:07,12.7,274弹幕,汽车&汽车生活&停车场&停车&地下车库,879,66,547,1707,https://b23.tv/BV1iK4y197qw
女子高速公路倒车，以为打着双闪就没事了,惨烈交通事故,2021-05-15 16:29:46,25.3,27弹幕,汽车&搞笑&汽车生活&逗比&高能&沙雕&倒车&高速,2.2万,6,626,64,https://b23.tv/BV1UA411G7Gs
真实的曹县到底什么样？我花了半生的积蓄喝了碗鱼汤,小吕斯基,2021-05-20 10:09:24,10.7,28弹幕,农村&汽车&汽车生活&生活&曹县&自驾&新能源车&几何A,1865,78,131,136,https://b23.tv/BV1RU4y157XW
向摩托车手致敬,鹏一稀奇古怪,2021-04-25 20:22:16,361.8,965弹幕,机械&汽车&汽车生活&骑士&骑行&摩托&重机车&机车&UP主推荐官,28.4万,5962,2.0万,1061,https://b23.tv/BV1gK4y1Z7As
这样不好,排水渠不过弯,2021-05-20 11:22:48,9.0,5弹幕,跑车&汽车&汽车生活&迈凯伦&街道&交通&五菱&轻卡,793,3,38,7,https://b23.tv/BV1A84y1F7pZ
特斯拉车主:我别你是因为 我看见摩托瘆得慌！（我震惊的发现他车里有白色的大盖帽！）,chenneko摩托日记,2021-05-18 02:55:50,15.1,1593弹幕,特斯拉&汽车&搞笑&汽车生活&别车&Ktm,6928,931,536,640,https://b23.tv/BV1UK4y19712
不会吧！真的以为玩车的大学生很帅吗？不会吧！不会吧?,什么都不懂的斯坦尼康,2021-05-17 15:19:19,15.6,98弹幕,汽车&汽车生活&2021春季新番创作挑战&VLOG&改装&生活&改装车,1527,98,273,73,https://b23.tv/BV1V64y1y7ua
对流车道弯道超车，导致追尾要担责任吗？（5.18）,交通事故启示录,2021-05-18 21:24:58,15.5,135弹幕,汽车&汽车生活&交通安全&交通事故&车祸&车祸集锦&汽车知识,4391,82,91,27,https://b23.tv/BV1aK4y1G7zc
100w的奥迪A3？瞒着媳妇深夜提真正的赛车！,Hanf韩贩出品,2021-05-21 12:00:19,3.9,657弹幕,赛车&汽车&汽车文化&奥迪&A3&赛道&TCR&RS3,3644,2863,710,79,https://b23.tv/BV1hf4y1Y7Rg
“抬头，我扫一下”,M-Aer,2021-05-19 11:24:29,8.6,2弹幕,机械&汽车&汽车生活&改装&奔驰&梅赛德斯奔驰&AMG,747,6,88,34,https://b23.tv/BV1hf4y1Y7am
探望病友！又有一部斯巴鲁跪在了半路,袁启聪&节操卓卓卓,2021-05-21 19:50:38,6.0,181弹幕,汽车&汽车生活&赢全球热评 拍汽车视频&日常&wrx&二手车&STI&斯巴鲁&改装车&事故车&jdm&情怀车,3479,496,258,211,https://b23.tv/BV1hf4y1Y7E5
在曹县该开什么车？（内附三吱和同性520表白）,李老鼠说车,2021-05-20 21:50:06,5.8,955弹幕,汽车&汽车生活&二手车&李老鼠说车&ASK吱吱吱&汽车知识,3379,885,229,50,https://b23.tv/BV1N64y1y7Wj
专访“漂移韩”：驾校没毕业，和吴彦祖是怎么认识的？,萝卜北美,2021-05-18 18:25:14,7.6,170弹幕,豪车&跑车&赛车&汽车&汽车生活&生活&速度与激情&漂移韩&成康&玩车,1872,289,660,315,https://b23.tv/BV1sN411Z7qE
监控实拍科目三模拟考试00后起步太大意了直接扣100分,赖师傅带你快乐学车,2021-04-28 20:28:29,87.7,673弹幕,汽车&汽车生活&科目三&原创,2.0万,100,1895,1192,https://b23.tv/BV1gh411m7C1
汽车安全知多少，转向系统不能少！在行车安全里，除了刹车！你还需要知道的那些事儿,001电动实验室,2021-05-20 18:21:27,2.1,995弹幕,汽车&汽车生活&速度&新能源汽车&汽车知识,3097,214,2738,2213,https://b23.tv/BV1Pq4y1E7DV
结果出人意料 小姐姐黑丝上阵 测评20万级最走量合资车,易车原创节目,2021-05-12 10:00:09,35.9,1431弹幕,机械&汽车&汽车生活&自制&原创&科技&丰田&一汽丰田&凯美瑞&新车&汽车知识&亚洲龙,5439,1561,4395,557,https://b23.tv/BV1WQ4y1o7mn
一台二手车卖三次！大哥终于下定决心，这台宝马3系多少能收？,小胡说车,2021-05-19 17:59:19,6.8,185弹幕,汽车&汽车生活&宝马&生活&日常&原创&二手车&宝马3系&记录&汽车知识,1942,128,53,99,https://b23.tv/BV1Aq4y1E7YM
