title,author,pubdate,play_volume,barrage,classification,likes,coins,collect,share,url
这条视频请分享给男生 有手就会的拍照技巧,涼子同学,2021-05-20 12:00:14,34.5,1581弹幕,情侣&数码&摄影摄像&520心动告白季&恋爱&拍照&教程&干货&拍照技巧,2.8万,1.5万,2.5万,3960,https://b23.tv/BV1p54y1L7x3
【小泽】iPad Pro 12.9评测：最强屏幕遇上M1直接起飞,钟文泽,2021-05-19 21:00:08,79.9,7647弹幕,手机评测&手机&开箱&数码&手机平板&硬核科技馆&平板电脑&苹果&体验&iMac&iPad&iPadPro,3.4万,1.4万,6213,1.2万,https://b23.tv/BV1dN411o7b4
放一盘上世纪80年代的录像带，竟然看哭了,敖厂长,2021-05-21 18:46:44,41.9,2805弹幕,影音设备&数码&影音智能&80年代&好莱坞&光盘&LD&录像带&CD,4.0万,1.0万,4511,356,https://b23.tv/BV13K4y1G7Ur
半入耳+降噪？华为FreeBuds4评测丨先睹为快,先看评测,2021-05-19 15:07:35,39.9,3380弹幕,数码&影音智能&智能生活大作战&耳机&华为&FreeBuds4&蓝牙耳机&无线耳机&降噪&TWS&AirPods&FreeBuds,2.3万,1.1万,3479,3281,https://b23.tv/BV1Vv411L7ZF
【半佛x猿】学习资料学姿势 文明守法装机吧,远古时代装机猿&硬核的半佛仙人,2021-05-21 17:55:38,39.7,3506弹幕,装机&电脑&数码&电脑装机&数码玩家训练营5.0&CPU&显卡&组装电脑&游戏&ROG&主机&配置,3.0万,4445,2207,1003,https://b23.tv/BV1ph411v7FV
【小白开箱】这才叫曲面屏嘛,小白开箱,2021-05-20 22:34:30,45.9,2125弹幕,捡垃圾&手机评测&手机&开箱&数码&手机平板&数码玩家训练营5.0&LG&测评&LG G Flex2&曲面屏,2.5万,1902,1251,285,https://b23.tv/BV1Wo4y117BL
「小白」 华为MateView显示器体验：简直是长在了我的审美上,小白测评,2021-05-19 16:45:01,38.2,4254弹幕,电脑&开箱&数码&电脑装机&华为&科技&MateView&MateViewGT&外设&显示器&小白测评,1.8万,2750,1697,2796,https://b23.tv/BV1KU4y1b7F1
giegie！你跟我坐一架战斗机，你女朋友不会生气吧？,百岁山不甜pro,2021-05-21 18:53:15,27.3,856弹幕,空军&战斗机&飞机&摄影&数码&摄影摄像&一键GT 火力全开&飞行&自制&拍摄&航空摄影&打卡挑战,1.8万,1.0万,3978,1334,https://b23.tv/BV12y4y1W7q5
【国行值得买吗？】 PS5 全家福套装开箱 + 如何备份系统数据｜小宁子评测,贪玩歌姬小宁子,2021-05-19 20:15:17,31.2,1554弹幕,PS5&数码&影音智能&测评&国行&索尼&SONY&国行 PS5&备份&小宁子&playstation&PS4PRO,1.4万,4121,2830,1591,https://b23.tv/BV17h411v7ew
我大概是全站第一个被苹果拉黑的UP主（bushi,六分超超,2021-05-18 21:10:02,74.5,1999弹幕,电脑&手机&数码&电脑装机&IPHONE&苹果&up主是超超&六分超超&2021苹果新品&新款imac&苹果手机&imac,3.9万,7990,4440,1085,https://b23.tv/BV1j54y1V7fd
「科技美学开箱」实际开箱测试2021款M1芯片iPad Pro 对比前代及桌面端M1  是否同样具有生产力？ | 新款白色妙控键盘开箱体验,科技美学,2021-05-19 21:05:13,36.7,8192弹幕,数码&手机平板&我为科技美学画像&苹果&科技美学&平板&那岩,1.3万,2252,1342,1624,https://b23.tv/BV1fA411G7Mk
网友因用小米笔记本装黑苹果被人嘲讽，特来求助我,笔记本维修厮,2021-05-20 19:28:26,28.7,1877弹幕,装机&电脑&DIY&数码&电脑装机&日常&原创&CPU&硬件&体验&外设,1.3万,3634,1376,716,https://b23.tv/BV1zQ4y1R71n
临时加更！拼多多送素材！兄弟们我这算翻车了吗？！,韭菜实验室,2021-05-19 09:00:16,37.3,2177弹幕,开箱&数码&手机平板&平板&苹果&测评&IPHONE&百亿补贴&拼多多&ipad,2.2万,4233,1766,1412,https://b23.tv/BV1DA411G7Gv
【短的发布会】精神升华的安卓12！打工人什么时候才能真正站起来,短的发布会,2021-05-21 16:16:26,19.3,389弹幕,手机&数码&手机平板&数码玩家训练营5.0&安卓&谷歌&Google&Android12&开发者大会&发布会&ai&安卓12,1.8万,1292,857,246,https://b23.tv/BV1H44y1r7gx
【笔吧】华为MateBook16首发评测，16英寸标压R7笔记本,笔吧评测室,2021-05-19 19:23:01,21.6,2077弹幕,笔记本&电脑&数码&电脑装机&华为&笔记本电脑&硬件&HUAWEI&MATEBOOK,1.1万,2070,916,448,https://b23.tv/BV15Q4y1R7by
【那岩】2021 iPad Pro 十大疑问 m1 芯片真能封神？,那岩KJMX&科技美学,2021-05-19 21:00:08,23.8,1405弹幕,数码&手机平板&智能生活大作战&科技美学&苹果&ipad2021&m1ipad&那岩&m1芯片,1.0万,870,687,474,https://b23.tv/BV1Yy4y1g7JQ
