title,author,pubdate,play_volume,barrage,classification,likes,coins,collect,share,url
日食记翻车18次的巧克力，比丝滑无人能超越我。,日食记,2021-05-20 19:20:50,131.2,2.7万弹幕,美食&美食制作&初夏逛吃大会&日食记&料理制作&甜品&酥饼大人&姜老刀&蔓越莓&可可果&自制巧克力,18.6万,17.6万,5.1万,1.0万,https://b23.tv/BV1kB4y1F7fL
翻车30遍，省了4800，这是我吃过最贵的小饼干！！！,二喵的饭,2021-05-19 17:00:07,96.8,9036弹幕,烹饪&甜点&烘焙&厨艺&美食&搞笑&美食制作&初夏逛吃大会&生活&美食圈&甜品&料理制作,13.6万,7.5万,2.0万,1346,https://b23.tv/BV1gQ4y1R7q8
重磅料理，自制意大利旋风脆皮烤五花，配上一颗大蒜瞬间引爆味蕾,拜托了小翔哥,2021-05-19 17:00:07,106.4,3339弹幕,烧烤&试吃&美食&美食测评&初夏逛吃大会&美食圈&意大利脆皮烤五花,8.3万,2.0万,4664,1549,https://b23.tv/BV1cA411V7D2
这是帅小伙吃过最好吃的烧烤“炭烧响螺”不信的话请你试试！,记录生活的蛋黄派,2021-05-20 17:20:16,115.0,2.0万弹幕,厨艺&美食&搞笑&美食制作&初夏美味发现家&深夜食堂&制作教程&料理制作&情感&美食vlog&沙雕,14.7万,3.8万,7519,1065,https://b23.tv/BV1kV411j7AM
一人独享99元肯德基全家桶，试试到底能不能吃饱,田野上的繁荣,2021-05-20 11:30:19,102.9,9353弹幕,吃货&美食&美食记录&肯德基,6.9万,3.2万,3573,1317,https://b23.tv/BV1A64y1y7L2
超勇!把嘎子直播间的酒全部喝一遍，我整个人都变逊了！,波靖仔,2021-05-19 20:06:44,85.4,3343弹幕,开箱&美食&搞笑&美食测评&生活&潘嘎之交&沙雕&潘长江&谢孟伟&嘎子,7.6万,1.4万,3093,1487,https://b23.tv/BV1Tq4y1E7J3
借交大学生卡花43元畅吃交大食堂，连吃2层楼十几个档口，太满足！,小贝饿了,2021-05-20 18:18:37,107.0,1.3万弹幕,探店&美食&美食侦探&初夏逛吃大会&大学&酸辣粉&大学食堂&西安交通大学&凉面&交大&肠粉&烤冷面,5.7万,1.3万,3308,5305,https://b23.tv/BV1444y1r7FK
试吃密毛龙虾，刺身极品，做一个超大的龙虾球，后悔死了,小文哥吃吃吃,2021-05-20 16:00:10,65.1,5771弹幕,海鲜&试吃&美食&美食测评&初夏逛吃大会&刺身&猎奇&美食制作&墨青龙&龙虾&虾的做法,5.5万,1.5万,2434,465,https://b23.tv/BV1mA411G7Jv
"厨师长教你：""火爆猪小肠""的家常做法，鲜辣爽脆，开胃下饭",美食作家王刚R,2021-05-19 17:00:07,72.0,1643弹幕,厨艺&美食&美食制作&人人都能是大厨&爆炒小肠&火爆猪小肠&美食教学&厨师长,6.0万,1.1万,4112,1399,https://b23.tv/BV17v411L7AD
成都“最便宜的炸鸡自助”，19.9元随便吃，有人连吃9盘，遇到能吃的老板人均赔10元,肉肉大搜索,2021-05-19 17:47:39,89.0,2443弹幕,川菜&街头美食&美食&美食侦探&初夏逛吃大会&自助餐&成都小吃&路边摊&炸鸡&成都美食&美食探店&四川美食,4.2万,3705,4572,7128,https://b23.tv/BV1CB4y1F7rX
这可能是康师傅最不想看到的还原！,上班族的便当,2021-05-19 19:00:13,103.0,4158弹幕,夜宵&泡面&美食&美食制作&无限脑洞派对&方便面&生活&自制&红烧牛肉面&牛肉&康师傅,3.5万,2396,6250,1238,https://b23.tv/BV1eo4y1m7xy
全球唯一米其林 剧毒玫瑰 复刻出来是什么味道,澳洲阿彭,2021-05-20 18:51:55,39.2,8099弹幕,4K&烹饪&甜点&厨艺&美食&美食制作&初夏逛吃大会&情感&米其林&分子料理&甜品&美食圈,4.8万,2.0万,6830,1753,https://b23.tv/BV1H64y1d76z
电竞食堂偶遇职业选手？麻辣香锅一周来八次！【怎么这么值ep14——阿灵龙虾】,王师傅和小毛毛,2021-05-20 12:00:14,49.6,2173弹幕,夜宵&上海&美食&vlog&美食侦探&初夏逛吃大会&Vlog我的探店笔记&麻辣香锅&龙虾&美食探店&edg&rng&uzi,3.6万,1.7万,3854,787,https://b23.tv/BV17U4y1b7dJ
