title,author,pubdate,play_volume,barrage,classification,likes,coins,collect,share,url
史上最骚魔法师！(第二集),老番茄,2021-05-21 11:15:11,235.8,1.1万弹幕,搞笑&游戏&单机游戏&游戏心动时刻&娱乐&侦探&老番茄&darkside detective&沙雕&Warma,33.3万,15.9万,6.2万,2892,https://b23.tv/BV1jo4y117Vf
这个杀手也太温柔了吧 我真的哭死,花少北丶,2021-05-21 12:00:19,59.5,7244弹幕,STEAM&独立游戏&搞笑&单机游戏&游戏&游戏心动时刻&花少北&杀手&单机&杀手47&沙雕&单机联机,9.4万,5.3万,2.4万,1113,https://b23.tv/BV18B4y1F7ok
最 强 卧 底 王 ！,某幻君,2021-05-21 12:00:19,67.8,5448弹幕,热血无赖&单机游戏&游戏&沙雕游戏集&沙雕之主&剧情&娱乐&某幻&沙雕&Sleeping Dogs,9.2万,4.3万,2.1万,930,https://b23.tv/BV1my4y1W77P
【杨颜】如何看懂明日方舟的游戏剧情#0 初探泰拉,杨颜同学,2021-05-20 11:30:19,41.2,2310弹幕,明日方舟&游戏&手机游戏&明日方舟-静谧小镇&手游&剧情&瓦莱塔学会&世界观&杨颜,6.4万,4.4万,2.7万,6394,https://b23.tv/BV14B4y1F7To
靠谱盘点120：双杀DK！RNG成功晋级淘汰赛，韩国观众抗议赛制：凭什么第二名先打？,靠谱电竞,2021-05-21 01:38:21,135.8,6579弹幕,MSI&RNG&LPL&MAD&英雄联盟&游戏&电子竞技&游戏知识分享官&游戏赛事&DK&游匣G15&PSG&柴西,7.5万,1.9万,5267,1165,https://b23.tv/BV1Y44y1r7Vn
LOL最诡异“空城计”套路！来自千里之外的折磨！【有点骚东西】,上海滩许Van强,2021-05-21 11:30:07,73.2,3116弹幕,英雄联盟&搞笑&游戏&电子竞技&游戏知识分享官&沙雕&LOL&套路,7.6万,3.0万,6928,5470,https://b23.tv/BV1VV411j7zk
赛  博  饮  茶,墙墙墙墙墙墙贰,2021-05-18 12:00:16,59.5,937弹幕,科幻&守望先锋&游戏&单机游戏&全能沙雕&沙雕之主&电子竞技&赛博朋克&overwatch&赛博广州&三点&CYBERPUNK&饮茶&广州,5.7万,3.1万,2.1万,1.0万,https://b23.tv/BV1864y1y7KF
【电竞星快报】为什么说输三把是好事，只是希望...（第三季18期）,银河电竞,2021-05-20 18:29:27,53.7,4796弹幕,小虎&MSI&RNG&LPL&电竞赛事&英雄联盟&搞笑&游戏&电子竞技&游戏知识分享官&游戏资讯&游戏赛事&游戏杂谈&DK,5.4万,3.7万,6489,508,https://b23.tv/BV1so4y117U8
《崩坏3》4.9版本前瞻直播录像,崩坏3第一偶像爱酱,2021-05-20 21:35:04,88.3,1.1万弹幕,崩坏3&原神&游戏&手机游戏&手游&联动&米哈游&miHoYo,2.9万,4220,3381,6224,https://b23.tv/BV14V411j7jq
【逗鱼时刻】第302期 炉石主播的恋爱小课堂,天天卡牌,2021-05-20 19:02:57,95.5,6849弹幕,王师傅&异灵术&炉石传说&桌游棋牌&游戏&电子竞技&游戏知识分享官&天天卡牌&逗鱼时刻&狗贼&酒馆战棋&衣锦夜行&驴鸽,4.8万,1.8万,4332,1243,https://b23.tv/BV1vK4y197To
徐老师来巡山316：团战无人生还，狗熊绝地反击！,靠脸吃饭的徐大王,2021-05-21 16:42:20,52.9,2892弹幕,英雄联盟&搞笑&游戏&电子竞技&徐老师&搞笑集锦&LOL&下饭操作,5.7万,2.8万,4744,697,https://b23.tv/BV1ay4y1W7sU
【E周游戏导视01】小朋友雪地开车！,EdmundDZhang,2021-05-21 16:15:07,20.6,766弹幕,STEAM&独立游戏&游戏&单机游戏&老E&单机,4.1万,4.3万,1.4万,622,https://b23.tv/BV1L44y1r7XS
高 ping 玩 家 现 状,锤子game,2021-05-19 18:18:50,97.7,564弹幕,搞笑&游戏&网络游戏&CSGO激励计划&FPS,4.9万,4277,4406,1906,https://b23.tv/BV1x44y1r7cf
NPC传奇电影短片：贝林之路—钓鱼哥的奇妙冒险,土团联盟VLDL,2021-05-21 16:02:27,17.5,4963弹幕,搞笑&单机游戏&游戏&游戏知识分享官&电影&娱乐&恶搞&钓鱼哥的奇妙冒险&单机联机&大电影&NPC&VLDL,3.5万,5.0万,1.5万,2975,https://b23.tv/BV1Wv411L7SK
