title,author,pubdate,play_volume,barrage,classification,likes,coins,collect,share,url
语文课本里那些“已删节”的原文到底有多厉害？,二二酸酸,2021-05-21 18:10:09,221.5,2.2万弹幕,手书&知识&校园学习&知识分享官&文学&大学&文科&高中&初中&语文&名著&学霸红利,25.4万,18.4万,11.0万,2.1万,https://b23.tv/BV1c64y1k7N6
“兄弟，再挺会儿啊……兄弟，兄弟……”,新电图,2021-05-20 13:29:47,95.6,4470弹幕,知识&社科人文&新星荐片官企划&中国&正能量&军事&爱国&徐晔医生&男神&特警&热血&军人&守护解放西,10.1万,4.3万,2.4万,1792,https://b23.tv/BV1WA411g7Ub
超级变变变,设计师深海,2021-05-17 19:42:30,223.2,1143弹幕,野生技术协会&科普&知识&知识分享官&创意&UI&学习&设计&图标&动效&MG动画,31.2万,8.6万,5.5万,1842,https://b23.tv/BV1Sy4y1W7Gc
【毕导】复旦团队用喝茶看见人体经络？我喝了一桶茶，你猜我看见了啥？,毕导THU,2021-05-20 19:57:26,97.7,1.1万弹幕,科学&科普&知识&科学科普&知识分享官&化学&情感&实验&中医&喝茶&分析&毕导,11.4万,3.9万,1.5万,8360,https://b23.tv/BV15q4y1E7Mn
从恋爱到出轨总共分几步？《今日谭法》法制小剧场520特别篇,罗翔说刑法&谭乔&托马斯家的&演员管云鹏&马皑教授&蜡笔和小勋&法山叔,2021-05-20 18:20:29,75.4,1.6万弹幕,法律&知识&社科人文&知识分享官&剧场&出轨&恋爱&情感&犯罪&普法&案件&刑法,9.2万,2.8万,1.3万,9504,https://b23.tv/BV1rh411v7qW
人民不应该忘记他，国家不应该忘记他，一个国家不应该没有了英雄和模范。他舍弃了全部家当建抗战博物馆，其心可嘉，其行亦奖。,官方真实历史记录片,2021-05-17 23:08:14,159.4,2592弹幕,纪实&历史&人文&知识&社科人文&社会&樊建川,18.0万,1.3万,1.4万,1093,https://b23.tv/BV17V411j7Kw
【懂点儿啥】网红冰淇淋“钟薛高”凭什么卖这么贵？,肝帝董佳宁&观察者网,2021-05-20 20:00:05,97.6,1.1万弹幕,冰淇淋&吃货&美食&知识&社科人文&知识分享官&雪糕&食品工业&懂点儿啥&冷饮&董佳宁&钟薛高,6.3万,7155,4497,2165,https://b23.tv/BV1K84y1F7xq
消化一下：巴以闹这么大，背后的剧本该怎么读？,观察者网,2021-05-19 18:38:11,94.5,8355弹幕,美国&知识&社科人文&知识分享官&消化一下&谷智轩&巴以冲突&中东&巴勒斯坦&国际&耶路撒冷&以色列,5.8万,8479,5845,1200,https://b23.tv/BV1j54y1V7BL
【医学博士】爱出汗是虚吗？I 出多少汗才是健康标准？,兔叭咯&尖叫SCREAM,2021-05-20 19:56:04,56.5,3167弹幕,减肥&健身&科普&搞笑&知识&科学科普&Keep尖叫！暴汗不断电&颜值&运动&情感&沙雕&医学,5.8万,1.8万,7363,2126,https://b23.tv/BV1bN411Z7T9
“铁皮棺材”内生活69年，世界上最后一个“铁肺”人,侃哥叨叨叨,2021-05-18 19:50:55,122.9,6982弹幕,历史&人文&知识&社科人文&知识分享官&社会&原创&人物&奇闻&侃哥叨叨叨&小儿麻痹症,6.0万,1.2万,8437,1444,https://b23.tv/BV1n54y1L7Qx
感受下暴力快递！三万八千元的魔方就这么炸了！！！,mf8广场大叔-魔方地带,2021-05-19 00:29:54,133.4,542弹幕,魔方&知识&野生技术协会&暴力快递&魔方开箱,6.9万,2.5万,3339,962,https://b23.tv/BV1rQ4y1o76d
800万粉网红被封630年：狗血求婚5小时狂赚1600万！,郭云神奇,2021-05-20 12:00:19,66.8,4467弹幕,搞笑&知识&社科人文&娱乐&人物&社会&直播&网红&粉丝&带货&殷世航&打卡挑战,4.2万,4541,3128,1674,https://b23.tv/BV13v411L7HK
古人对一些事物的雅称，说的太美了,墨竹手写,2021-05-19 19:00:13,31.3,589弹幕,冷知识&历史&人文&知识&社科人文&知识分享官&趣闻&原创&手写&学习&古代&打卡挑战,2.9万,5132,2.0万,1011,https://b23.tv/BV1Yq4y1E7vh
一个电话把屠杀和侵略变成烟花秀，以色列的战争宣传片你看懂了多少？【一勺思想·邱文平】,观视频工作室,2021-05-19 22:05:07,40.9,5970弹幕,导弹&知识&社科人文&知识分享官&邱文平&中东&以色列&巴以冲突&巴勒斯坦&一勺思想&观视频,3.5万,1.4万,7416,2991,https://b23.tv/BV1tf4y1Y73F
学习机构不愿让你知道的，10大良心资源推荐！【铁木君】,进击的铁木君,2021-05-19 19:15:07,16.9,513弹幕,黑科技&野生技术协会&人文&科普&知识&社科人文&知识分享官&学习&大学生&网站,1.4万,1.0万,3.3万,567,https://b23.tv/BV1d5411u77o
大英博物馆翻车了！爆笑文物修复案例赏析,万能实验室,2021-05-18 16:02:58,81.5,1917弹幕,国家宝藏&人文&知识&社科人文&知识分享官&文物&考古&文物修复&博物馆&文物保护&大英博物馆,4.1万,3131,7172,661,https://b23.tv/BV1aq4y1E7hx
【探奇录】微博女孩无奈吃屎、裸奔、约炮，什么才是网络“言论自由”？,探奇录,2021-05-19 10:52:12,56.0,2742弹幕,人文&知识&社科人文&知识分享官&人物&奇闻&中国&心理&社会&网暴&打卡挑战&网络言论自由,2.4万,3640,7079,2529,https://b23.tv/BV1G54y1V7fa
婚前必查的三个网站,广州普法,2021-05-16 10:41:19,85.6,234弹幕,知识&社科人文&知识分享官&社会&结婚,4.6万,1.3万,8.9万,4350,https://b23.tv/BV1yq4y1f734
为了钱和就业率，送学生去血汗工厂，这些学校把实习当成了生意！,赛雷三分钟,2021-05-19 13:00:34,27.7,3771弹幕,知识&社科人文&知识分享官&利益输送&黑幕&实习&为人师表&苦力&卖学生&压榨,3.8万,2.0万,6839,3613,https://b23.tv/BV1wv411L7fV
《特别版错位时空》：我仰望你看过的星空，脚下大地已换了时空,钧正平,2021-05-17 15:40:25,35.6,494弹幕,历史&人文&知识&社科人文&觉醒年代&混剪&青春&社会&建党百年&错位时空,3.9万,3.0万,2.0万,3637,https://b23.tv/BV1QA411G7JJ
币圈血洗大崩盘，只剩马斯克在欢笑【快评】,动动枪DongDongGun,2021-05-20 17:22:04,43.5,3159弹幕,知识&社科人文&知识分享官&数码&显卡&商业&马斯克&暴跌&比特币&互联网&炒币&以太币&狗狗币,2.4万,3597,3319,3047,https://b23.tv/BV1pN411Z7WW
竟然是战车接亲！军人的集体婚礼你花钱也办不到…,军中课堂,2021-05-18 11:44:41,41.3,1238弹幕,解放军&知识&社科人文&知识分享官&520&兵哥哥&中国军人&集体婚礼,3.5万,1.9万,3243,949,https://b23.tv/BV1z5411u7Fd
我的天，这么多钱...,天天鉴宝,2021-05-19 18:00:11,52.4,848弹幕,野生技术协会&知识&知识分享官&天天鉴宝,1.9万,239,495,235,https://b23.tv/BV1bQ4y1R7tL
为什么航母的尾流这么蓝？,豆先生的纠缠态,2021-05-19 17:48:28,34.7,720弹幕,航母&知识&科学科普&驱逐舰&航空母舰&兵器&尾流&螺旋桨,2.3万,4366,3439,187,https://b23.tv/BV1pV411j7Fo
价值18万的网线测评！网线里的智商税，买啥网线不吃亏？五类线 超五类 六类线 超六类 福禄克 水晶头 网络面板 跳线 永久链路 信道 DSX-5000,科技宅小明,2021-05-20 19:43:59,32.7,858弹幕,科普&知识&科学科普&知识分享官&测评&超六类&超五类&六类线&网线&水晶头&跳线&福禄克,9396,5024,7585,601,https://b23.tv/BV14f4y1Y7mL
1张清华大学教授工资表曝光，我顿悟了对年轻人最残忍的骗局,小椰子专栏,2021-05-21 10:45:48,51.1,728弹幕,知识&校园学习&2021一起学习&读书&大学&清华大学&学习&工资&经验分享&学习心得&打卡挑战&来点阳光，生活不丧,7572,327,1668,280,https://b23.tv/BV14y4y1g7R9
你永远不知道一家做动画的公司，技术能有多叼【差评君】,差评君,2021-05-20 11:00:06,20.6,1009弹幕,人文&知识&社科人文&知识分享官&皮克斯&迪士尼&人物&玩具总动员&动画片&商业,2.1万,1.1万,6356,1015,https://b23.tv/BV11f4y1Y7XP
海王男友化身美国CIA特工，骗13名女子生40个孩子，欧洲离奇案件 | 奇闻观察室,奇闻观察室,2021-05-20 10:20:15,30.2,3748弹幕,海王&美国&知识&社科人文&知识分享官&奇闻&原创&推理&悬疑&案件&CIA&特工,2.2万,3418,2216,1274,https://b23.tv/BV1vf4y1Y7v3
【回形针PaperClip】抓娃娃机如何伤透你的心？,回形针PaperClip,2021-05-21 21:00:12,29.7,896弹幕,机械&科普&知识&科学科普&娱乐&电玩&生活&玩偶&抓娃娃机&消费&商场&抓娃娃,1.9万,4153,2804,3408,https://b23.tv/BV13K4y1R71h
祝融号传回照片，和美火星车拍摄区别显眼，NASA呼吁数据共享,嫦娥登月,2021-05-20 00:35:46,45.6,386弹幕,NASA&美国&科普&知识&科学科普&知识分享官&祝融号火星车&祝融号传回照片&中国航天&天问一号,8869,200,371,62,https://b23.tv/BV1sN411Z78F
这个女生的死亡，震惊了整个日本社会。【围炉夜话】,智能路障,2021-05-18 17:42:10,80.7,8890弹幕,人文&知识&社科人文&知识分享官&推理&社会&人物&悬疑&桶川跟踪狂杀人事件&案件&罪犯,6.2万,4.0万,1.7万,5546,https://b23.tv/BV18q4y1E7GP
互动视频,趣测酱,2021-05-19 18:09:57,18.2,3548弹幕,心理学&互动视频&知识&社科人文&知识分享官&测试&性格&情感&犯罪&病娇&趣测酱&欲望,2.5万,4081,3769,2729,https://b23.tv/BV1gU4y1L7SM
