title,author,pubdate,play_volume,barrage,classification,likes,coins,collect,share,url
自制《咳反应功夫灶》,手工耿&在下钟薛高,2021-05-20 18:00:06,291.0,3.0万弹幕,家居&厨艺&手工&美食&生活&干饭人指南&制作&制作教程&原创&创意&集成灶&钟薛高,24.8万,11.5万,2.3万,1.9万,https://b23.tv/BV1WB4y1F786
520告白成功了！介绍我的女朋友！,肌肉山山,2021-05-20 17:20:16,150.7,2.3万弹幕,情侣&生活&日常&520心动告白季&恋爱&暗恋&生活记录&告白&VLOG&情感&中韩情侣&肌肉山山,12.5万,11.3万,2.6万,1.2万,https://b23.tv/BV1bV411j7t8
禁 忌 女 孩 我 不 更 了！,我是影Sir,2021-05-17 20:53:39,328.4,4585弹幕,生活&日常&吐槽,31.6万,10.6万,3.2万,1.0万,https://b23.tv/BV1MK4y1G79i
2008年北京奥运会开幕式,北京2022年冬奥会,2021-05-18 18:56:53,136.5,4.2万弹幕,北京奥运会&奥运会&体育&生活&运动&2008&奥林匹克&奥运&开幕式,13.0万,8.9万,8.2万,7582,https://b23.tv/BV1AN411Z7wf
这个挑战玩的有点大了！,中国BOY超级大猩猩,2021-05-19 23:32:11,97.8,7760弹幕,搞笑&生活&520心动告白季&搞笑视频&全程高能&中国BOY&娱乐&TF&沙雕&挑战&TOM FORD&沙雕视频,11.8万,3.2万,1.6万,3591,https://b23.tv/BV1p54y1L7SZ
光 学 隐 形，就是有点费手,叶无趣,2021-05-19 17:00:07,166.5,1843弹幕,手绘&绘画&搞笑&生活&绘画过程&日常&画画&果“燃”痛快营,13.2万,2.2万,1.2万,4026,https://b23.tv/BV1u64y1y7AE
把“一日男友”彻底玩坏！,达达达布溜-,2021-05-20 17:30:09,81.7,1.1万弹幕,情侣&搞笑&生活&520心动告白季&男朋友&高能&情感&奇葩&男友&挑战&沙雕,10.4万,4.0万,1.2万,5198,https://b23.tv/BV1cv411L7B2
男朋友背着我都买了啥啊？,贤宝宝Baby&薯条超好吃哒,2021-05-20 17:20:16,88.4,5490弹幕,开箱&生活&日常&初夏逛吃大会&520&VLOG&恋爱&男朋友&521&贤宝宝,12.4万,2.4万,6709,1278,https://b23.tv/BV16K4y197bN
云朵收藏家,不良良良,2021-05-17 21:13:14,86.5,2675弹幕,生活&日常&音乐&高能&天空&云朵&记录,12.6万,5.7万,11.6万,1.3万,https://b23.tv/BV1nf4y1Y7Wx
单 身 狗 之 怒！,盖世猪猪丶,2021-05-20 10:10:13,70.2,663弹幕,配音&汪星人&萌宠&搞笑&生活&520心动告白季&搞笑视频&单身狗&情感&rap&沙雕&五二零,8.1万,5.3万,1.2万,1.1万,https://b23.tv/BV1Eh411v7Bz
华农兄弟：兄弟家的野杨梅熟了，摘点回来吃，顺便去游个泳,华农兄弟,2021-05-20 11:30:19,126.4,1.5万弹幕,游泳&水果&生活&日常&生活记录&杨梅&田园生活&华农&农村生活&华农兄弟,11.1万,1.8万,3551,1503,https://b23.tv/BV1GQ4y1R7Qn
为什么男人不讨厌绿茶，而女人却反感,真子日记,2021-05-19 17:50:33,113.8,2003弹幕,搞笑&生活&搞笑表演&绿茶&搞笑视频&逗比&反转&沙雕,7.2万,1.6万,8670,1.2万,https://b23.tv/BV1bB4y1F7VE
520愿有情人都被温柔以待,狈总,2021-05-20 17:57:25,104.2,1256弹幕,搞笑&生活&最强配音王-配音剧场&520&恋爱&表白&情感&单身狗&狈总&沙雕&情人节快乐&打卡挑战,7.8万,1.4万,5277,3749,https://b23.tv/BV1sK4y197s5
【国家级朗诵】两面包夹芝士,Halation君,2021-05-18 10:00:11,69.4,2849弹幕,明日方舟&搞笑&生活&日常&全能沙雕&沙雕之主&朗诵&覆潮之下&我们联合&森蚺&沙雕&斯卡蒂&两面包夹芝士,4.9万,2.3万,2.4万,1.5万,https://b23.tv/BV1bB4y1F7wW
【小学生沙雕作文】看完当场裂开！吃饭喝水慎入！,柠檬派奇幻漂流,2021-05-20 22:03:12,43.9,4703弹幕,生活&搞笑&搞笑吐槽&娱乐&小学生沙雕作文&沙雕&作文&小学生&离谱&沙雕作文,6.8万,1.9万,7548,1798,https://b23.tv/BV16A411g7zu
毕业前我被求婚啦！以为只是普通的一天，没想到突然被求婚了！原来这就是被求婚的感觉哈哈哈,在下小苏,2021-05-20 12:10:18,42.6,4679弹幕,情侣&生活&日常&520心动告白季&VLOG&情感&求婚大作战&恋爱&爱情&海边求婚&求婚,4.8万,4.0万,7732,1880,https://b23.tv/BV1zA411g7qF
单身的朋友教你谈恋爱,自来卷三木,2021-05-20 17:44:59,57.7,3007弹幕,搞笑&生活&搞笑表演&搞笑视频&帅哥&逗比&沙雕,7.9万,7640,3166,1905,https://b23.tv/BV1Rq4y177TR
优雅小球为你表演柴可夫斯基《花之圆舞曲》,音乐涂鸦DoodleChaos,2021-05-20 17:28:09,60.7,536弹幕,手工&DIY&生活&手工绘画达人秀2.0&创意&柴可夫斯基&音乐可视化&连锁反应,3.6万,2.7万,1.0万,2297,https://b23.tv/BV1xB4y1F7oF
男友第一视角的约会 | 上海网红餐厅到底如何？,拿拿nah,2021-05-20 18:03:06,52.2,2864弹幕,情侣&探店&生活&日常&520发现爱&VLOG&拿姐&男友&网红餐厅&啊吗粽,6.0万,2.1万,6044,1654,https://b23.tv/BV1hb4y1o7Zo
折纸-方块小鲸鱼,许全林Chris,2021-05-18 23:09:16,28.3,366弹幕,折纸&手工&生活&手工制作&折纸教程&手工折纸&方块鲸鱼&折纸视频,3.0万,1.2万,4.5万,1916,https://b23.tv/BV1uN411Z7Cv
钞能力5,黑旗团队,2021-05-19 18:22:28,100.0,198弹幕,生活&搞笑&搞笑挑战,5.4万,3068,1802,746,https://b23.tv/BV19A411G7cU
新垣结衣嫁给了曹县人？,铁柱大课堂,2021-05-19 20:31:39,83.1,1380弹幕,新垣结衣&必剪创作&生活&搞笑&搞笑表演&曹县&赵铁柱&男德,4.2万,8824,4338,1.1万,https://b23.tv/BV1sh411v7TD
