title,author,pubdate,play_volume,barrage,classification,likes,coins,collect,share,url
人都傻了！这片上来就是皇帝自宫！【阅片无数Ⅱ 03】,凉风Kaze,2021-05-19 22:00:03,183.4,1.1万弹幕,沙雕新闻&影视杂谈&搞笑&影视&全民娱乐家·娱乐小能手&高能&真三国无双&沙雕&阅片无数&凉风Kaze&tool凉,20.4万,4.2万,1.5万,2221,https://b23.tv/BV1fK4y197u9
大结局！我们现在的幸福生活就是它的续集！9.3高燃民国历史剧《觉醒年代》P12,木鱼水心,2021-05-21 21:47:06,87.7,2.2万弹幕,影视杂谈&影视&五月哔刷片·佳片N刷&木鱼水心&于和伟&鲁迅&觉醒年代&历史剧&张永新&一千零一部,17.3万,13.4万,3.3万,5196,https://b23.tv/BV1af4y1Y7ax
豆瓣9.6，权威网站认证必看神剧！世界评分最高的电视剧《绝命毒师》第一季1-4,阿斗归来了,2021-05-19 18:17:34,101.7,5178弹幕,影视&影视杂谈&五月哔刷片·佳片N刷&经典&神作&绝命毒师&犯罪&美剧&高分&爷青回&吉尼斯&绝命毒师第一季,8.3万,3.3万,1.2万,1813,https://b23.tv/BV1uf4y1h71j
【low君】《十大台偶OST》：盘点那些前奏一响你DNA就会动的金曲,low君热剧,2021-05-20 10:10:13,82.8,3.2万弹幕,王子变青蛙&恶作剧之吻&影视&影视杂谈&520&下一站幸福&恶魔在身边&命中注定我爱你&十大台偶ost&海豚湾恋人&放羊的星星&微笑pasta,8.2万,2.2万,9953,5228,https://b23.tv/BV1L54y1V7us
【1900】人民万岁！中原逐鹿最后一击《淮海战役》精讲 后篇,1900影剧室,2021-05-20 17:03:32,43.4,1.5万弹幕,历史&影视&影视杂谈&追寻先烈足迹&战争&经典&解放战争&淮海战役&大决战&影片&精讲&1900影剧室,7.1万,5.2万,1.1万,1036,https://b23.tv/BV1kQ4y1o7rC
一言不合就回旋爆头！ 季均9.0高分悬疑剧回归！《九号秘事》S6E1,小片片说大片,2021-05-19 17:20:26,82.1,223弹幕,影评&影视&影视杂谈&五月哔刷片·五月好剧&烧脑&悬疑&惊悚&喜剧&犯罪&影评杂谈&九号秘事,6.6万,1.7万,6002,697,https://b23.tv/BV1mv41157a8
【AI演技大赏】内娱要变天了，机器人或将取代人类,一只吐槽圆,2021-05-18 14:21:40,91.8,8469弹幕,王鹤棣&于朦胧&宋威龙&杨颖&影视&影视杂谈&全民娱乐家·高能点评官&遇龙&陈学冬&盛一伦&面瘫&打卡挑战&影娱哔哔官,8.9万,2.9万,1.2万,1.4万,https://b23.tv/BV1SB4y1F7Ky
“每当我撑不下去的时候，我就会打开这个视频”,莫实说,2021-05-17 22:15:22,59.7,855弹幕,罗翔&历史&短片&影视剪辑&影视&五月哔刷片·佳片N刷&剪辑&励志&梦想&正能量&经典,4.5万,2.0万,3.3万,2404,https://b23.tv/BV1h64y1y7A1
导演：让他来演个杀人犯，他直接把自己演进了今日说法！,荒草音乐,2021-05-21 12:43:19,109.8,1187弹幕,张译&影视剪辑&影视&全民娱乐家·娱乐小能手&经典&段奕宏&犯罪&烈日灼心&演技&王砚辉&章宇,5.0万,1947,4279,356,https://b23.tv/BV1v5411u7hy
剧TOP：豆瓣9.6，无与伦比的日剧巅峰之作《白色巨塔》全解读（第一回）,电影最TOP,2021-05-19 20:45:06,51.4,5917弹幕,影视&影视杂谈&白色巨塔&日剧&经典&医疗剧,4.2万,2.6万,7452,1686,https://b23.tv/BV1c64y1k7cd
放肆，我刘备天下无敌！,邢道荣小姐姐,2021-05-19 16:45:09,79.6,569弹幕,新三国&刘备&曹操&三国演义&影视剪辑&影视&于和伟,3.3万,4984,4952,2433,https://b23.tv/BV1gU4y1L7XC
【郎朗】海 上 东 北 钢 琴 师,_青红造了个白_,2021-05-16 12:05:34,301.1,9514弹幕,影视&影视剪辑&五月哔刷片·佳片N刷&郎朗,34.1万,26.8万,12.2万,4.5万,https://b23.tv/BV1aq4y177bX
【虫哥】男女主互虐到分手的民国狗血神剧《国色天香》，女主是真的可怜啊~~,虫哥说电影,2021-05-20 17:22:33,62.2,9738弹幕,电视剧解说&电影解说&影视杂谈&搞笑&影视&五月哔刷片·佳片N刷&童年回忆杀&叶璇&于正&童年&电影剪辑&吐槽,4.5万,6768,2409,1322,https://b23.tv/BV1Db4y1f7jj
【觉醒年代】我拥过你拥过的晚风,秦巴少年_,2021-05-16 20:56:20,47.7,868弹幕,影视混剪&影视剪辑&影视&五月哔刷片·佳片N刷&国产&混剪&电视剧&青春&觉醒年代&错位时空&陈延年&陈乔年,5.4万,4.4万,2.8万,6833,https://b23.tv/BV1964y1C7jR
妙玉结局和身世之谜  红楼梦八十回后的故事 吴氏石头记完整本 第四期,女王泡面,2021-05-19 19:59:04,26.3,8555弹幕,林黛玉&影视杂谈&人文&科普&影视&电视剧&红楼梦&曹雪芹&妙玉,2.9万,2.8万,7507,2263,https://b23.tv/BV1xA411g7PC
新 概 念 渣 男 行 为 大 赏,刘老师说电影,2021-05-20 17:00:16,48.3,3301弹幕,曾小贤&搞笑&影视&影视杂谈&五月哔刷片·佳片N刷&吐槽&大赏&刘老师说电影,4.7万,6042,2920,980,https://b23.tv/BV1Z64y1C7pn
海边惊现溺亡巨人，身高40米体重60吨，被分割做成纪念品！奇幻片,怪SHOW甄甄,2021-05-19 15:15:05,115.2,833弹幕,影评&影视&影视杂谈&悬疑&电影&动画&奇幻,1.9万,323,2958,204,https://b23.tv/BV17o4y1173U
千 年 等 一 回！！！那个女人她有头啦！,少年五之歌&大橙橙橙子,2021-05-21 17:00:12,17.2,568弹幕,汉服&短片&影视&中国华服日&五歌&大橙子&五橙,3.1万,1.7万,9011,1074,https://b23.tv/BV1fU4y157ZT
这才是男人该看的片！纹身代表着地位！从啥也不是当上大哥!,火龙果讲电影,2021-05-20 00:57:09,79.1,642弹幕,影评&电影解说&影视&影视杂谈&五月哔刷片·五月好剧&原创&电影&武力&男人&狠人,1.7万,578,2342,165,https://b23.tv/BV1w44y1r7m7
《山海情》《觉醒年代》《大江大河2》…这入围名单简直了！,观察者网,2021-05-21 14:19:54,41.4,2152弹幕,影视&预告·资讯&觉醒年代&山海情&白玉兰&大江大河2,3.3万,411,2092,774,https://b23.tv/BV1BK4y197z6
