title,author,pubdate,play_volume,barrage,classification,likes,coins,collect,share,url
高考应援原创曲  《不负韶光》（Hanser&Q酱 ）,hanser&QQ星,2021-05-21 18:02:05,38.6,3696弹幕,原创歌曲&音乐&原创音乐&不负韶光&QQ星&为2021届中高考生应援&Q酱&hanser,6.8万,3.8万,3.2万,4903,https://b23.tv/BV1ZB4y1F7xK
【官方MV】G.E.M.邓紫棋《好想好想你》,GEM邓紫棋工作室,2021-05-20 12:00:14,61.4,3019弹幕,音乐&MV&华语MV,5.1万,2.6万,1.4万,9875,https://b23.tv/BV1EQ4y1R7s6
【4K60FPS】泰勒Taylor Swift《Love story》超梦幻现场！祝大家520快乐！,音乐私藏馆,2021-05-19 17:46:46,60.1,1356弹幕,开口跪&音乐&音乐现场&520&霉霉&经典&演唱会&泰勒斯威夫特&TAYLORSWIFT&欧美现场&Love story&音乐私藏馆,4.5万,1.3万,1.7万,5525,https://b23.tv/BV18q4y1E7zE
【音量拉满】真爆炸现场！用《追梦赤子心》打开《奇迹再现》居然这么燃？！,天谕手游,2021-05-20 20:39:32,71.0,3898弹幕,迪迦奥特曼&奥特曼&特摄&音乐&MV&天谕手游,2.9万,1.8万,1.3万,9517,https://b23.tv/BV18K4y1G7BZ
【鹿乃】翻唱《可爱的女朋友/キュートな彼女》,鹿乃ちゃん,2021-05-21 18:00:00,20.5,374弹幕,日文翻唱&翻唱&音乐&外语翻唱&治愈向&鹿乃&日语翻唱&COVER&可爱的女朋友&キュートな彼女&syudou,3.6万,1.9万,1.6万,1738,https://b23.tv/BV1864y1y7hV
【INTO1】5.21薇娅狂欢节 全开麦成团首秀《少年的模样+INTO1》舞台！炸裂全场！,嗑糖少女000,2021-05-21 23:19:01,44.3,4.5万弹幕,林墨&华语现场&音乐&音乐现场&刘宇&INTO1&米卡&高卿尘&赞多&周柯宇&张嘉元&尹浩宇&伯远,1.8万,1776,1.1万,3726,https://b23.tv/BV17f4y1Y7En
【凤凰传奇演唱会03】梵音说唱【繁花】,凤凰传奇,2021-05-20 14:12:27,25.5,2311弹幕,华语现场&音乐&音乐现场&凤凰传奇&演唱会,3.6万,1.9万,5233,643,https://b23.tv/BV1Kq4y1E7Jv
aespa新曲Next Level首舞台公开,pcyxjy,2021-05-20 17:11:27,71.9,3356弹幕,aespa&音乐&音乐现场,2.5万,2702,1.1万,5643,https://b23.tv/BV1so4y117fH
不一样的快闪合唱！北京邮电大学师生代表《唱支山歌给党听》，你听听......,北邮青年,2021-05-19 17:57:54,52.6,2844弹幕,音乐&音乐综合&点亮繁星计划&校园&何同学&北京邮电大学,3.3万,6835,3129,2212,https://b23.tv/BV1xh411v77m
【石玺彤】《撒野》cover,石玺彤彤彤彤,2021-05-19 18:02:39,27.8,1127弹幕,翻唱&音乐&COVER&女声&龙韬&撒野&石玺彤,3.0万,1.2万,7642,2017,https://b23.tv/BV1tA411g7VG
【凤凰传奇翻唱《好运来》】快进来许愿！曾毅超燃rap带你好运爆不完！,梦幻西游网页版,2021-05-17 17:30:08,159.6,1.8万弹幕,梦幻西游&华语现场&开口跪&音乐&音乐综合&音乐现场&好运来&凤凰传奇&海底&曾毅&唢呐&玲花,11.0万,8.0万,5.4万,1.9万,https://b23.tv/BV1aB4y1F7T8
【三无x祖娅纳惜】自海洋而亡 【民族风原创曲】,祖娅纳惜&三无Marblue&竟敢不学习&Tilkey&片冈竹人&鄢然然然,2021-05-21 18:06:41,14.1,701弹幕,原创歌曲&音乐&原创音乐&祖娅纳惜&民族风&民族调&三无&OceanFall,2.9万,1.6万,1.3万,1140,https://b23.tv/BV11f4y1Y7om
【万疆x李玉刚】我何其幸生你怀，承一脉血流淌！,共青团中央&李玉刚&请问秦霄贤今天胖了吗,2021-05-20 21:07:00,18.1,734弹幕,李玉刚&原创歌曲&音乐&原创音乐&万疆,3.8万,1.2万,5728,1799,https://b23.tv/BV1sq4y1E7hx
洗 脑 RAP 神 曲 来 袭 ！你知道什么是当当当当吗？【开宗立派×罗家英】,倩女幽魂手游菌,2021-05-20 12:05:50,38.5,460弹幕,RAP&说唱&搞笑&音乐&MV&全民娱乐家·娱乐小能手&手机游戏&手游&明星&古装&洗脑&神曲&倩女幽魂手游,1.7万,1218,7628,6079,https://b23.tv/BV19K4y1A7LJ
国外专业音乐制作人如何评价周杰伦？,不是柯桑德,2021-05-21 18:00:00,41.9,3018弹幕,周杰伦&歪果仁&音乐&音乐综合&高能&VLOG&周董&外国人&JAY&夜曲&音乐制作,2.4万,9126,3263,687,https://b23.tv/BV1WA411g7Ca
【Animenz】打上花火 - 烟花 主题曲 钢琴,Animenzzz,2021-05-21 20:00:00,12.7,780弹幕,米津玄师&4K&钢琴&演奏&音乐&Animenz Love Story&DAOKO&ANIMENZ&动漫音乐&烟花&打上花火,2.3万,2.0万,1.1万,2268,https://b23.tv/BV1tQ4y1R7MR
回 冢,浑元Rysn,2021-05-19 17:30:16,28.4,1312弹幕,民乐&乐器&演奏&音乐&古乐新意&萨克斯&COVER&名曲&回家&唢呐&Going Home,3.0万,5455,4374,2656,https://b23.tv/BV1Eo4y117td
火遍全网！“巴勒斯坦Eminem”男孩在战争废墟前说唱,嘻笑堂,2021-05-18 01:19:23,58.6,474弹幕,嘻哈&HIPHOP&RAP&说唱&音乐&音乐现场&LIVE&以色列&巴勒斯坦&说唱歌手&rapper,2.5万,2260,6724,1839,https://b23.tv/BV1B5411u7iA
【涌潮悲歌】献给斯卡蒂的《海底》（凤凰传奇版/填词）【明日方舟】,阿萨Aza&艾因Eine&水螅-Hydra&PinoEliza&边银工作室,2021-05-16 17:30:09,123.0,2820弹幕,明日方舟&翻唱&音乐&bilibili音乐星计划&凤凰传奇&海底&斯卡蒂&虚拟主播&NIJISANJI&VIRTUAREAL&艾因Eine&阿萨AZA,12.6万,11.3万,7.9万,1.4万,https://b23.tv/BV15b4y1f7HP
【初音ミク】泪【MARETU】,KitanoNani_无爱奇艺号,2021-05-21 18:11:24,8.4,1540弹幕,初音未来&VOCALOID&音乐&VOCALOID·UTAU&初音ミク&MARETU&ナミダ,1.3万,4840,1.4万,4827,https://b23.tv/BV1fb4y1f7rE
一次听个爽！危机合约六大赛季处刑曲串烧,十回,2021-05-17 16:01:16,28.2,1383弹幕,危机合约&明日方舟&音乐&音乐综合&混音&ACG音乐&游戏音乐&游戏BGM,2.2万,2643,1.3万,1276,https://b23.tv/BV1vN411Z7VU
【宋雨琦】[MV] - 'Bonnie & Clyde',GIDLE_official,2021-05-20 23:00:16,13.2,957弹幕,宋雨琦&(G)I-DLE&音乐&MV&Bonnie & Clyde&A Page,1.7万,1.0万,6462,1659,https://b23.tv/BV16K4y197S9
你为什么做鬼畜 ？？,枪弹轨迹,2021-05-20 12:00:14,14.9,451弹幕,说唱&电音&鬼畜&翻唱&音乐&我的音乐你听吗&励志&填词&枪弹轨迹&MOOD&蜜汁带感,2.7万,9295,3977,243,https://b23.tv/BV16y4y1W71J
我把霉霉的恐怖英文歌改编成了夏日甜蜜版本？？！！,Vicky宣宣,2021-05-21 15:58:36,19.7,673弹幕,欧美音乐&翻唱&音乐&我的音乐你听吗&泰勒斯威夫特&TAYLORSWIFT&改编&COVER,2.3万,5156,2954,573,https://b23.tv/BV1q5411u7na
《 退休吧  赶紧的 》,韩大力,2021-05-18 16:00:08,37.2,905弹幕,民谣&手书&原创歌曲&手绘&绘画&搞笑&音乐&原创音乐&我的音乐你听吗&歌曲&音乐视频,3.3万,2.2万,1.1万,5892,https://b23.tv/BV1yh411v7g9
来自国际巨星的合作 神曲改rap,Ethika中国官方,2021-05-19 17:30:16,15.5,35弹幕,RAP&说唱&音乐&音乐综合&RAPPER&听歌&REMIX&饶舌&精选歌单,1.4万,1090,7667,844,https://b23.tv/BV11y4y1W7gz
汪    苏    泷,玛丽的对头,2021-05-16 22:01:31,78.1,1125弹幕,汪苏泷&音乐&音乐综合&有点甜&ACG音乐&rickroll&精选歌单,6.3万,1.3万,1.7万,8721,https://b23.tv/BV1NB4y1F7qV
凤凰传奇翻唱《海底》,浙江卫视,2021-04-24 23:57:08,1405.7,8.5万弹幕,华语现场&开口跪&音乐&音乐现场&凤凰传奇,92.4万,36.4万,54.3万,18.3万,https://b23.tv/BV1qp4y1t7DJ
【李玉刚自投稿】《万疆》MV官方发布~,李玉刚,2021-05-19 19:03:25,10.8,628弹幕,李玉刚&中国风&音乐&MV&国风音乐&华语MV&国语MV&万疆,1.6万,9238,3668,1007,https://b23.tv/BV1q64y1d7Ee
Justin Bieber - Peaches (cover),ChristyWuuu&就是哈比,2021-05-21 19:30:05,9.7,385弹幕,键盘&电吉他&欧美音乐&翻唱&演奏&音乐&COVER&合唱&Daniel Caesar&Justin Bieber,1.4万,9901,4897,1153,https://b23.tv/BV1WN411Z7Nb
【钢琴】《碎月》东方萃梦想名曲,绯绯Feifei,2021-05-20 19:47:07,10.5,561弹幕,博丽灵梦&东方&钢琴&演奏&音乐&东方PROJECT&东方萃梦想&碎月,1.7万,8602,3947,630,https://b23.tv/BV1V64y1y7rF
彻底杀疯！中文说唱天花板，Flow技巧恐怖至极！-《亚洲最强势力》幸存者联盟,街头社区,2021-05-21 19:36:45,15.3,753弹幕,嘻哈&HIPHOP&RAP&说唱&音乐&音乐综合&听歌&亚洲&中文说唱&Rapper&Diss,1.0万,2130,4527,1721,https://b23.tv/BV1f64y1r7gA
九种语言版《天下》：烽烟起寻爱似浪淘沙 遇见她如春水映梨花,TheMix多语种乐团,2021-05-22 12:00:14,10.5,1445弹幕,张杰&古风&翻唱&音乐&我的音乐你听吗&国风音乐&多语种&好听&唱歌&TheMix多语种乐团&天下,1.5万,1.1万,3153,581,https://b23.tv/BV1wv411L7Yf
薛之谦的歌曲真的好唱吗？带你分析老薛各种难度情曲！既好听，又适合练习！【零基础福音】,Jason-老湿,2021-05-19 19:56:19,13.3,1313弹幕,薛之谦&乐评盘点&音乐&音乐综合&听歌&情歌&零基础&唱歌教学&唱歌技巧&Jason&真假声,1.4万,5984,2853,327,https://b23.tv/BV1Z5411u7AV
来听！我用钢琴和吉他改编了《爱的飞行日记》！,邓园长,2021-05-19 10:55:21,26.7,743弹幕,翻唱&音乐&我的音乐你听吗&唱歌&女声&COVER,2.4万,1.4万,4481,1329,https://b23.tv/BV1jq4y1E7eZ
师兄妹联手，炸翻天！iKON✘LISA合作舞台《classy savage》公开,taerubykim,2021-05-20 20:40:17,21.4,690弹幕,iKON&LISA&YG&BLACKPINK&音乐&音乐现场&现场,5376,260,2805,902,https://b23.tv/BV1zB4y1F7H8
国外街头｜古筝演奏《暗影刺客》这够燃不？,碰碰彭碰彭,2021-05-14 17:00:02,78.9,1131弹幕,刺客伍六七&古筝&演奏&音乐&古乐新意&弘扬国乐,8.0万,1.4万,1.2万,775,https://b23.tv/BV1kN411o728
故 乡,去种田的向凹凸,2021-05-18 20:37:05,32.7,1971弹幕,民谣&吉他弹唱&农村&吉他&翻唱&演奏&音乐&我歌唱的理由有很多&弹唱&许巍&男声&故乡,2.9万,1.5万,3104,1090,https://b23.tv/BV1z54y1L7iL
【周存/原创歌曲】东方将白【东方树叶十周年】,JUSF周存,2021-05-21 18:00:00,3.3,315弹幕,原创歌曲&音乐&原创音乐&周存&东方树叶十周年,8449,6385,4303,858,https://b23.tv/BV1JQ4y1R74U
【迈克尔杰克逊】不可超越的五分钟！超清中英字幕竖屏60帧,MJJHD_超清剪辑,2021-04-25 16:17:55,260.4,2114弹幕,迈克尔杰克逊&音乐&音乐现场&舞蹈&MJ&经典&现场&打卡挑战,26.2万,6847,8.0万,4007,https://b23.tv/BV17h411m7vw
当经典交响乐音乐可视化后，拼了命的小绿能获胜吗？,音乐涂鸦DoodleChaos,2021-05-14 12:00:04,127.8,1760弹幕,交响乐&音游&演奏&音乐&音乐综合&我的音乐你听吗&音乐游戏&纯音乐&可视化,5.4万,1.3万,1.4万,3662,https://b23.tv/BV1FK4y1P7pL
【姜云升】浪漫主义小黄歌现场直拍 超清超蛊 0515 天津麦浪音乐节,下辈子再睡,2021-05-19 10:10:45,7.4,51弹幕,HIPHOP&RAP&说唱&音乐&音乐现场&LIVE&姜云升,7699,1157,5902,993,https://b23.tv/BV1Mo4y1174g
Winter Is Coming! 人声演绎《权力的游戏》片头曲【MayTree五月树】,MayTree五月树,2021-04-26 16:15:14,489.5,3205弹幕,阿卡贝拉&翻唱&音乐&全能音乐挑战赛&冰与火之歌&美剧&权力的游戏&人声&acappella,30.7万,10.5万,8.0万,1.9万,https://b23.tv/BV1dq4y1E7Gn
【音你心动】请把般配打在公屏上！,咻咻满,2021-05-21 20:52:50,10.6,643弹幕,翻唱&王者荣耀&音乐&520心动告白季&电子竞技&歌曲&自制&唱歌&音你心动&咻咻满&打卡挑战,1.0万,5767,1984,214,https://b23.tv/BV1jq4y1E7aV
红白战歌 星野源 《恋》,缠缠成溪,2021-05-15 15:54:16,45.9,1158弹幕,红白歌会&新垣结衣&音乐&音乐现场&逃避可耻但有用&恋,8477,801,2571,2397,https://b23.tv/BV1zK4y1A7sy
【翻唱】乃琳&嘉然《吵架歌》【直播剪辑】,乃琳Queen,2021-05-20 12:10:18,7.0,203弹幕,虚拟UP主&翻唱&音乐&VTuber&自制&虚拟偶像&《吵架歌》&A-SOUL&VTUBER&VUP&嘉然&乃琳,8487,6082,1847,382,https://b23.tv/BV19A411G7uE
【墨清弦原创曲】风羽【2021官方生贺曲】,墨清弦&大九_LN&星辉_p&哈士奇P&小忻Kin_en&咕哩咯哩&VV丶SAMA&才不二&人形兎&vsinger团队,2021-05-20 18:00:06,2.7,488弹幕,VOCALOID&音乐&VOCALOID·UTAU&我的音乐你听吗&墨清弦&2021墨清弦生日应援&Vsinger&墨清弦520生日快乐,6990,4363,4184,490,https://b23.tv/BV1NU4y1L7ux
好久不见！随便唱一首歌吧！,徐子未,2021-05-20 23:40:42,7.6,1327弹幕,翻唱&音乐&徐子未&永不失联的爱,8306,5728,2187,654,https://b23.tv/BV1844y1r7QB
【潘嘎之交】【以潘之名】仁慈的叔我已坠入 网上虚拟的国度,李昂星,2021-05-02 17:04:17,394.9,3114弹幕,周杰伦&翻唱&搞笑&音乐&火力配音王-配音大赏&搞笑视频&明星&潘嘎之交&潘长江&谢孟伟,20.7万,12.3万,5.0万,2.9万,https://b23.tv/BV1GB4y1w7U2
我把高考必备地理做成了一首歌！,杨可爱Ukulele,2021-05-21 21:08:03,7.8,267弹幕,地理&尤克里里&原创歌曲&古风&演奏&科普&音乐&原创音乐&2021高考季&国风音乐&原创&弹唱&国人女声&高考必备,9385,2773,3790,584,https://b23.tv/BV1Qv41157Ye
铁打的《晴天》是个啥？仅一天播放破亿，网友：这俩大爷敲一天了,下饭音乐,2021-05-17 16:42:52,29.2,72弹幕,欧阳娜娜&小提琴&王源&乐评盘点&乐器&演奏&音乐&音乐综合&周杰伦晴天&sexy love,5059,179,1280,20,https://b23.tv/BV1dv41157x9
公子我闲游出门去~被抓回家立刻自闭(ˉ^ˉ)❀《放飞》【洛少爷/翻唱】,洛少爷,2021-05-20 17:20:16,3.3,510弹幕,翻唱&音乐&520&洛少爷,8230,4920,3174,306,https://b23.tv/BV1EQ4y1R7r5
【墨韵】去唐风的茶馆弹琴喝茶,墨韵Moyun,2021-05-20 18:00:06,6.0,256弹幕,古筝&民乐&4K&演奏&音乐&我的音乐你听吗&国风音乐&国风&东方树叶十周年&茶,1.1万,1852,3415,1566,https://b23.tv/BV19U4y157aB
【架子鼓】进来抖腿！CSGO玩家人均传颂《EZ4ENCE》,咸鱼_栗,2021-05-21 18:00:00,10.6,177弹幕,演奏&音乐&我的音乐你听吗,7567,1718,1820,365,https://b23.tv/BV1pK4y1G76T
【Minecraft Dream音乐/中文字幕】面具 Mask（歌词MV已经更新）,苏维埃冰棺中的伊利亚,2021-05-21 01:43:07,4.5,375弹幕,音乐&音乐综合&MCTY&DreamWastaken&面具&Dream&Mask,5527,2145,4896,840,https://b23.tv/BV18y4y1W7RT
再来亿遍的歌曲！周瑜小乔高甜故事曲《音你心动》背后的他们？,王者荣耀,2021-05-21 19:22:09,8.8,103弹幕,王者荣耀&演奏&音乐&电子竞技&周瑜&游戏音乐&小乔,8953,1369,2118,525,https://b23.tv/BV1Gq4y1E7GR
【钢琴】岑宁儿《追光者》罗曼耶卓,oskarpianist,2021-05-19 01:37:17,11.7,511弹幕,夏至未至&钢琴&演奏&音乐&钢琴曲&岑宁儿,1.3万,9339,5054,1469,https://b23.tv/BV1tK4y197EW
【aespa】突然出现的 Next Level 舞台,aespa资源站,2021-05-21 20:20:04,15.5,78弹幕,aespa&Korea相关&音乐&音乐现场&金玟庭&内永亚绘里&宁艺卓&柳智敏,3723,46,855,138,https://b23.tv/BV1db4y1f7GM
【哦漏】《オレンジ》经典V家翻唱 爷青回,哦漏QAQ,2021-05-19 16:27:38,3.3,344弹幕,翻唱&音乐&噼里啪啦噼里啪啦&orange,6813,4603,2842,388,https://b23.tv/BV1f64y1d7DA
夕阳下的《Señorita》配上萨克斯，美呆了！！,丹哥的Sax,2021-05-18 22:43:48,14.7,213弹幕,演奏&音乐&音乐现场&萨克斯&《Señorita》&DanieleVitale,1.3万,4252,3105,513,https://b23.tv/BV1Dh411v7Ch
经典翻唱｜《IN MY BLOOD》即使彷徨不安也要前行,音乐制作人Kurt,2021-05-21 16:00:07,6.5,109弹幕,欧美音乐&翻唱&音乐&我的音乐你听吗&治愈向&弹唱&KHS&萌德&男声&欧美翻唱&Shawn Mendes,1.1万,3075,1990,219,https://b23.tv/BV11K4y197ko
【花谱】#80 「例えば/例如」原创歌曲,花谱_kaf,2021-05-19 19:03:32,2.8,159弹幕,虚拟UP主&原创歌曲&虚拟歌手&日本&音乐&原创音乐&MV&女声&神椿工作室&花谱&日本音乐,6180,4640,3381,601,https://b23.tv/BV1Rb4y1f7BE
“合唱国家队”再献“神仙翻唱”：这版《同桌的你》，让你想起了谁？,国家大剧院,2021-05-20 21:45:45,10.1,189弹幕,华语现场&开口跪&音乐&音乐现场&入耳即洗脑的神曲&合唱&焦淼&校园民谣&国家大剧院&同桌的你&神仙翻唱&国家大剧院合唱团,5918,2036,1525,590,https://b23.tv/BV1co4y117rh
高端的曲目往往只需要最朴素的演奏乐器,音_嘤嘤,2021-05-03 20:08:40,202.0,3303弹幕,周杰伦&演奏&音乐&古乐新意&青花瓷&翻弹&非常规乐器,17.9万,5.5万,3.8万,9696,https://b23.tv/BV1Mv411j7RG
【SUPER JUNIOR】艺声《Corazón Perdido (Lost Heart)》Special Video,SUPERJUNIOR,2021-05-21 16:00:07,2.0,789弹幕,艺声&SUPER JUNIOR&音乐&音乐现场&金钟云&YESUNG,5895,6249,2767,448,https://b23.tv/BV16y4y1W7Rn
Drip | 生活区up主的全英文说唱？！,邵艾伦Alan,2021-05-20 21:13:56,7.4,383弹幕,嘻哈&HIPHOP&RAP&电音&音乐&MV&太平浪潮&Trap&TRAP&饶舌&欧美说唱&打卡挑战,8851,2781,637,105,https://b23.tv/BV1nv411L76X
[30covers] Aespa / Next Level / 全  曲  改  编！打开新世界！最强男声翻唱吒回归新曲！（原曲也很好听！谢谢）速度与激情与念经,野生三十,2021-05-18 01:57:07,21.1,509弹幕,翻唱&音乐&KOREA相关&Aespa&金玟庭&柳敏智&内永亚绘里&WINTER&KARINA&宁艺卓&NINGNING&GISELLE,1.5万,9090,5978,2117,https://b23.tv/BV1U5411u7xj
国产女团的“王炸”舞台，居然是照抄韩国的？网友：丢人丢到国外！,音乐猛抬头,2021-05-19 00:14:05,19.3,418弹幕,乐评盘点&(G)I-DLE&音乐&音乐综合&韩国抄袭&Lion舞台抄袭&孔雪儿itzy&女团选秀,1286,24,258,40,https://b23.tv/BV1Bh411v7Cm
【原神】若陀龙王战斗音乐 音乐解读,拿弓子的波塞东,2021-05-18 18:41:49,11.3,1502弹幕,OST&RPG&原神&单机游戏&音乐&音乐综合&原神UP主激励计划&手机游戏&游戏音乐&手游&钟离&米哈游&若陀龙王,1.2万,7869,4108,900,https://b23.tv/BV1BV411j7Lp
GFRIEND全员不续约！回顾这场把清纯power诠释到极致的超震撼MMA现场 161119 中韩字幕,神迹出品,2021-05-19 12:48:10,11.7,181弹幕,GFRIEND&KPOP&音乐&音乐现场&韩国音乐&韩国女团&韩语现场,2834,204,1750,203,https://b23.tv/BV1B44y1r7Qo
【苍穹2021诞生日+ft.赤羽】Dancing like a wind『吉光片羽Queendom』专辑收录曲,星尘Official&五维介质Official&味素_&大九_LN&木变石&大汉JAX&Ddickky,2021-05-20 00:05:05,2.3,249弹幕,EDM&原创歌曲&电音&音乐&VOCALOID·UTAU&我的音乐你听吗&SynthV&原创曲&苍穹2021诞生日&赤羽&木变石&苍穹&味素&大九&平行四界Quadimension&五维介质,5204,2885,3091,423,https://b23.tv/BV1i64y1d7iQ
【元子弹】《You And Me》保姆级教程《君と僕 》Cover 松井祐贵 完整指弹教程 谱例同步,元子弹吉他,2021-05-21 01:47:39,3.6,305弹幕,吉他&演奏&音乐&我的音乐你听吗&吉他教程&指弹&指弹教学&吉他教学&翻弹&指弹教程&松井祐贵&元子弹,4485,4966,2728,195,https://b23.tv/BV1Rh411v7AV
用AK弹喀秋莎,Vinheteiro,2021-04-30 18:00:12,443.8,3124弹幕,钢琴&演奏&音乐&喀秋莎&AK47,27.3万,3.6万,3.1万,1.4万,https://b23.tv/BV1kf4y1p7qj
中国小哥在韩国舞台上演唱《雪落下的声音》听得鸡皮疙瘩！！,米奇木木三不愛米奇,2019-08-02 22:50:54,1012.5,4.9万弹幕,马嘉祺&时代少年团&开口跪&TF家族&翻唱&音乐&音乐现场&雪落下的声音&歌曲&台风蜕变之战,17.0万,3.7万,13.7万,4.8万,https://b23.tv/BV1ut411u74G
aespa《Next Level》MV + 现场版 (更新至0521练习室),草莓牛奶味的Haru,2021-05-15 23:14:32,85.1,1868弹幕,aespa&音乐&MV,1.0万,588,5699,2255,https://b23.tv/BV1Pv411572Q
公认经典毒版_极乐净土,一米舞歌姬,2021-05-14 21:57:46,32.8,579弹幕,BML&极乐净土&明星舞蹈&音乐&音乐现场&舞蹈&メイリア&GARNIDELIA&極楽浄土&日语现场&水桥舞&美依礼芽&MARiA,1.5万,1929,6657,688,https://b23.tv/BV1Pq4y1n7W3
宁宁电台清唱《像中枪一样》宁王当之无愧大主唱！,糖糖EE,2021-05-18 20:50:27,16.9,72弹幕,aespa&音乐&音乐综合&KOREA相关&宁宁&宁艺卓,4334,188,1668,552,https://b23.tv/BV1eh411v7XD
